player_id,award_id,year,league_id,tie,notes
larusto01,BBWAA Manager of the year,1983,AL,NULL,NULL
lasorto01,BBWAA Manager of the year,1983,NL,NULL,NULL
andersp01,BBWAA Manager of the year,1984,AL,NULL,NULL
freyji99,BBWAA Manager of the year,1984,NL,NULL,NULL
coxbo01,BBWAA Manager of the year,1985,AL,NULL,NULL
herzowh01,BBWAA Manager of the year,1985,NL,NULL,NULL
mcnamjo99,BBWAA Manager of the year,1986,AL,NULL,NULL
lanieha01,BBWAA Manager of the year,1986,NL,NULL,NULL
andersp01,BBWAA Manager of the year,1987,AL,NULL,NULL
rodgebu01,BBWAA Manager of the year,1987,NL,NULL,NULL
larusto01,BBWAA Manager of the year,1988,AL,NULL,NULL
lasorto01,BBWAA Manager of the year,1988,NL,NULL,NULL
robinfr02,BBWAA Manager of the year,1989,AL,NULL,NULL
zimmedo01,BBWAA Manager of the year,1989,NL,NULL,NULL
torboje01,BBWAA Manager of the year,1990,AL,NULL,NULL
leylaji99,BBWAA Manager of the year,1990,NL,NULL,NULL
kellyto01,BBWAA Manager of the year,1991,AL,NULL,NULL
coxbo01,BBWAA Manager of the year,1991,NL,NULL,NULL
larusto01,BBWAA Manager of the year,1992,AL,NULL,NULL
leylaji99,BBWAA Manager of the year,1992,NL,NULL,NULL
lamonge01,BBWAA Manager of the year,1993,AL,NULL,NULL
bakerdu01,BBWAA Manager of the year,1993,NL,NULL,NULL
showabu99,BBWAA Manager of the year,1994,AL,NULL,NULL
aloufe01,BBWAA Manager of the year,1994,NL,NULL,NULL
pinielo01,BBWAA Manager of the year,1995,AL,NULL,NULL
baylodo01,BBWAA Manager of the year,1995,NL,NULL,NULL
oatesjo01,BBWAA Manager of the year,1996,AL,Y,NULL
torrejo01,BBWAA Manager of the year,1996,AL,Y,NULL
bochybr01,BBWAA Manager of the year,1996,NL,NULL,NULL
johnsda02,BBWAA Manager of the year,1997,AL,NULL,NULL
bakerdu01,BBWAA Manager of the year,1997,NL,NULL,NULL
torrejo01,BBWAA Manager of the year,1998,AL,NULL,NULL
dierkla01,BBWAA Manager of the year,1998,NL,NULL,NULL
williji03,BBWAA Manager of the year,1999,AL,NULL,NULL
mckeoja99,BBWAA Manager of the year,1999,NL,NULL,NULL
manueje01,BBWAA Manager of the year,2000,AL,NULL,NULL
bakerdu01,BBWAA Manager of the year,2000,NL,NULL,NULL
pinielo01,BBWAA Manager of the year,2001,AL,NULL,NULL
bowala01,BBWAA Manager of the year,2001,NL,NULL,NULL
sciosmi01,BBWAA Manager of the year,2002,AL,NULL,NULL
larusto01,BBWAA Manager of the year,2002,NL,NULL,NULL
penato01,BBWAA Manager of the year,2003,AL,NULL,NULL
mckeoja99,BBWAA Manager of the year,2003,NL,NULL,NULL
showabu99,BBWAA Manager of the year,2004,AL,NULL,NULL
coxbo01,BBWAA Manager of the year,2004,NL,NULL,NULL
guilloz01,BBWAA Manager of the year,2005,AL,NULL,NULL
coxbo01,BBWAA Manager of the year,2005,NL,NULL,NULL
leylaji99,BBWAA Manager of the year,2006,AL,NULL,NULL
girarjo01,BBWAA Manager of the year,2006,NL,NULL,NULL
wedgeer01,BBWAA Manager of the year,2007,AL,NULL,NULL
melvibo01,BBWAA Manager of the year,2007,NL,NULL,NULL
maddojo99,BBWAA Manager of the year,2008,AL,NULL,NULL
pinielo01,BBWAA Manager of the year,2008,NL,NULL,NULL
sciosmi01,BBWAA Manager of the year,2009,AL,NULL,NULL
tracyji01,BBWAA Manager of the year,2009,NL,NULL,NULL
gardero01,BBWAA Manager of the year,2010,AL,NULL,NULL
blackbu02,BBWAA Manager of the year,2010,NL,NULL,NULL
maddojo99,BBWAA Manager of the year,2011,AL,NULL,NULL
gibsoki01,BBWAA Manager of the year,2011,NL,NULL,NULL
melvibo01,BBWAA Manager of the year,2012,AL,NULL,NULL
johnsda02,BBWAA Manager of the year,2012,NL,NULL,NULL
francte01,BBWAA Manager of the year,2013,AL,NULL,NULL
hurdlcl01,BBWAA Manager of the year,2013,NL,NULL,NULL
mccarjo99,TSN Manager of the Year,1936,ML,NULL,NULL
mckecbi01,TSN Manager of the Year,1937,ML,NULL,NULL
mccarjo99,TSN Manager of the Year,1938,ML,NULL,NULL
durocle01,TSN Manager of the Year,1939,ML,NULL,NULL
mckecbi01,TSN Manager of the Year,1940,ML,NULL,NULL
southbi01,TSN Manager of the Year,1941,ML,NULL,NULL
southbi01,TSN Manager of the Year,1942,ML,NULL,NULL
mccarjo99,TSN Manager of the Year,1943,ML,NULL,NULL
sewellu01,TSN Manager of the Year,1944,ML,NULL,NULL
bluegos01,TSN Manager of the Year,1945,ML,NULL,NULL
dyered01,TSN Manager of the Year,1946,ML,NULL,NULL
harribu01,TSN Manager of the Year,1947,ML,NULL,NULL
meyerbi01,TSN Manager of the Year,1948,ML,NULL,NULL
stengca01,TSN Manager of the Year,1949,ML,NULL,NULL
rolfere01,TSN Manager of the Year,1950,ML,NULL,NULL
durocle01,TSN Manager of the Year,1951,ML,NULL,NULL
stanked01,TSN Manager of the Year,1952,ML,NULL,NULL
stengca01,TSN Manager of the Year,1953,ML,NULL,NULL
durocle01,TSN Manager of the Year,1954,ML,NULL,NULL
alstowa01,TSN Manager of the Year,1955,ML,NULL,NULL
tebbebi01,TSN Manager of the Year,1956,ML,NULL,NULL
hutchfr01,TSN Manager of the Year,1957,ML,NULL,NULL
stengca01,TSN Manager of the Year,1958,ML,NULL,NULL
alstowa01,TSN Manager of the Year,1959,ML,NULL,NULL
murtada01,TSN Manager of the Year,1960,ML,NULL,NULL
houkra01,TSN Manager of the Year,1961,ML,NULL,NULL
rignebi01,TSN Manager of the Year,1962,ML,NULL,NULL
alstowa01,TSN Manager of the Year,1963,ML,NULL,NULL
keanejo99,TSN Manager of the Year,1964,ML,NULL,NULL
melesa01,TSN Manager of the Year,1965,ML,NULL,NULL
bauerha01,TSN Manager of the Year,1966,ML,NULL,NULL
willidi02,TSN Manager of the Year,1967,ML,NULL,NULL
smithma01,TSN Manager of the Year,1968,ML,NULL,NULL
hodgegi01,TSN Manager of the Year,1969,ML,NULL,NULL
murtada01,TSN Manager of the Year,1970,ML,NULL,NULL
foxch01,TSN Manager of the Year,1971,ML,NULL,NULL
tannech01,TSN Manager of the Year,1972,ML,NULL,NULL
mauchge01,TSN Manager of the Year,1973,ML,NULL,NULL
virdobi01,TSN Manager of the Year,1974,ML,NULL,NULL
johnsda01,TSN Manager of the Year,1975,ML,NULL,NULL
ozarkda99,TSN Manager of the Year,1976,ML,NULL,NULL
weaveea99,TSN Manager of the Year,1977,ML,NULL,NULL
bambege01,TSN Manager of the Year,1978,ML,NULL,NULL
weaveea99,TSN Manager of the Year,1979,ML,NULL,NULL
virdobi01,TSN Manager of the Year,1980,ML,NULL,NULL
martibi02,TSN Manager of the Year,1981,ML,NULL,NULL
herzowh01,TSN Manager of the Year,1982,ML,NULL,NULL
larusto01,TSN Manager of the Year,1983,ML,NULL,NULL
freyji99,TSN Manager of the Year,1984,ML,NULL,NULL
coxbo01,TSN Manager of the Year,1985,ML,NULL,NULL
lanieha01,TSN Manager of the Year,1986,NL,NULL,NULL
mcnamjo99,TSN Manager of the Year,1986,AL,NULL,NULL
andersp01,TSN Manager of the Year,1987,AL,NULL,NULL
rodgebu01,TSN Manager of the Year,1987,NL,NULL,NULL
larusto01,TSN Manager of the Year,1988,AL,NULL,NULL
leylaji99,TSN Manager of the Year,1988,NL,NULL,NULL
robinfr02,TSN Manager of the Year,1989,AL,NULL,NULL
zimmedo01,TSN Manager of the Year,1989,NL,NULL,NULL
leylaji99,TSN Manager of the Year,1990,NL,NULL,NULL
torboje01,TSN Manager of the Year,1990,AL,NULL,NULL
coxbo01,TSN Manager of the Year,1991,NL,NULL,NULL
kellyto01,TSN Manager of the Year,1991,AL,NULL,NULL
larusto01,TSN Manager of the Year,1992,AL,NULL,NULL
leylaji99,TSN Manager of the Year,1992,NL,NULL,NULL
coxbo01,TSN Manager of the Year,1993,NL,NULL,NULL
oatesjo01,TSN Manager of the Year,1993,AL,NULL,NULL
aloufe01,TSN Manager of the Year,1994,NL,NULL,NULL
showabu99,TSN Manager of the Year,1994,AL,NULL,NULL
baylodo01,TSN Manager of the Year,1995,NL,NULL,NULL
hargrmi01,TSN Manager of the Year,1995,AL,NULL,NULL
bochybr01,TSN Manager of the Year,1996,NL,NULL,NULL
oatesjo01,TSN Manager of the Year,1996,AL,NULL,NULL
bakerdu01,TSN Manager of the Year,1997,NL,NULL,NULL
johnsda02,TSN Manager of the Year,1997,AL,NULL,NULL
bochybr01,TSN Manager of the Year,1998,NL,NULL,NULL
torrejo01,TSN Manager of the Year,1998,AL,NULL,NULL
coxbo01,TSN Manager of the Year,1999,NL,NULL,NULL
williji03,TSN Manager of the Year,1999,AL,NULL,NULL
bakerdu01,TSN Manager of the Year,2000,NL,NULL,NULL
manueje01,TSN Manager of the Year,2000,AL,NULL,NULL
bowala01,TSN Manager of the Year,2001,NL,NULL,NULL
pinielo01,TSN Manager of the Year,2001,AL,NULL,NULL
coxbo01,TSN Manager of the Year,2002,NL,NULL,NULL
sciosmi01,TSN Manager of the Year,2002,AL,NULL,NULL
coxbo01,TSN Manager of the Year,2003,NL,NULL,NULL
penato01,TSN Manager of the Year,2003,AL,NULL,NULL
coxbo01,TSN Manager of the Year,2004,NL,NULL,NULL
gardero01,TSN Manager of the Year,2004,AL,NULL,NULL
coxbo01,TSN Manager of the Year,2005,NL,NULL,NULL
guilloz01,TSN Manager of the Year,2005,AL,NULL,NULL
girarjo01,TSN Manager of the Year,2006,NL,NULL,NULL
leylaji99,TSN Manager of the Year,2006,AL,NULL,NULL
melvibo01,TSN Manager of the Year,2007,NL,NULL,NULL
wedgeer01,TSN Manager of the Year,2007,AL,NULL,NULL
maddojo99,TSN Manager of the Year,2008,AL,NULL,NULL
gonzafr99,TSN Manager of the Year,2008,NL,NULL,NULL
sciosmi01,TSN Manager of the Year,2009,AL,NULL,NULL
tracyji01,TSN Manager of the Year,2009,NL,NULL,NULL
gardero01,TSN Manager of the Year,2010,AL,NULL,NULL
blackbu02,TSN Manager of the Year,2010,NL,NULL,NULL
maddojo99,TSN Manager of the Year,2011,AL,NULL,NULL
gibsoki01,TSN Manager of the Year,2011,NL,NULL,NULL
showabu99,TSN Manager of the Year,2012,AL,NULL,NULL
johnsda02,TSN Manager of the Year,2012,NL,NULL,NULL
farrejo03,TSN Manager of the Year,2013,AL,NULL,NULL
hurdlcl01,TSN Manager of the Year,2013,NL,NULL,NULL
showabu99,TSN Manager of the Year,2014,AL,NULL,NULL
willima04,TSN Manager of the Year,2014,NL,NULL,NULL
molitpa01,TSN Manager of the Year,2015,AL,NULL,NULL
collite99,TSN Manager of the Year,2015,NL,NULL,NULL
showabu99,BBWAA Manager of the year,2014,AL,NULL,NULL
willima04,BBWAA Manager of the year,2014,NL,NULL,NULL
banisje01,BBWAA Manager of the year,2015,AL,NULL,NULL
